Name;Modifier3;Modifier4;Count;C - 0;C# - 1;D - 2;D# - 3;E - 4;F - 5;F# - 6;G - 7;G# -8;A - 9;A# - 10;B - 11
Major;M;;3;1;0;0;0;1;0;0;1;0;0;0;0
Dim;D;;3;1;0;0;1;0;0;1;0;0;0;0;0
minor;m;;3;1;0;0;1;0;0;0;1;0;0;0;0
m#5;m;;3;1;0;0;1;0;0;0;0;1;0;0;0
7no5;M;7;3;1;0;0;0;1;0;0;0;0;0;1;0
sus2;S;;3;1;0;1;0;0;0;0;1;0;0;0;0
M#5;M;;3;1;0;0;0;1;0;0;0;1;0;0;0
Msus4;S;;3;1;0;0;0;0;1;0;1;0;0;0;0
M7;M;7;4;1;0;0;0;1;0;0;1;0;0;0;1
M6;M;;4;1;0;0;0;1;0;0;1;0;1;0;0
mb6b9;m;;4;1;1;0;1;0;0;0;0;1;0;0;0
madd9;m;;4;1;0;1;1;0;0;0;1;0;0;0;0
Dim7;D;;4;1;0;0;1;0;0;1;0;0;1;0;0
m7b5;m;;4;1;0;0;1;0;0;1;0;0;0;1;0
m6;m;;4;1;0;0;1;0;0;0;1;0;1;0;0
m7;m;;4;1;0;0;1;0;0;0;1;0;0;1;0
mM7;m;;4;1;0;0;1;0;0;0;1;0;0;0;1
m7#5;m;;4;1;0;0;1;0;0;0;0;1;0;1;0
mb6M7;m;;4;1;0;0;1;0;0;0;0;1;0;0;1
9no5;m;9;4;1;0;1;0;1;0;0;0;0;0;1;0
7b5;D;7;4;1;0;0;0;1;0;1;0;0;0;1;0
7aug;A;7;4;1;0;0;0;1;0;0;0;1;0;1;0
aug7;A;7;4;1;0;0;0;1;0;0;0;1;0;1;0
7b9sus;S;;4;1;1;0;0;0;1;0;1;0;0;0;0
susb9;S;;4;1;1;0;0;0;1;0;1;0;0;0;0
M#5add9;M;;4;1;0;1;0;1;0;0;0;1;0;0;0
M7#5;M;;4;1;0;0;0;1;0;0;0;1;0;0;1
7sus4;S;;4;1;0;0;0;0;1;0;1;0;0;1;0
7b9;M;7;5;1;1;0;0;1;0;0;1;0;0;1;0
9;M;7;5;1;0;1;0;1;0;0;1;0;0;1;0
7#11;D;7;5;1;0;0;0;1;0;1;1;0;0;1;0
7b13;M;7;5;1;0;0;0;1;0;0;1;1;0;1;0
7b6;M;7;5;1;0;0;0;1;0;0;1;1;0;1;0
M6/9;M;;5;1;0;1;0;1;0;0;1;0;1;0;0
M9;M;;5;1;0;1;0;1;0;0;1;0;0;0;1
7#11;m;7;5;1;0;0;1;1;0;0;1;0;0;1;0
7#5#9;m;7;5;1;0;0;1;1;0;0;0;1;0;1;0
7b5#9;m;7;5;1;0;0;1;1;0;0;0;1;0;1;0
m9b5;D;9;5;1;0;1;1;0;0;1;0;0;0;1;0
m69;m;;5;1;0;1;1;0;0;0;1;0;1;0;0
m9;m;9;5;1;0;1;1;0;0;0;1;0;0;1;0
mM9;m;;5;1;0;1;1;0;0;0;1;0;0;0;1
m9#5;m;9;5;1;0;1;1;0;0;0;0;1;0;1;0
M7#11;m;;5;1;0;0;1;1;0;0;1;0;0;0;1
mM7b6;m;;5;1;0;0;1;0;0;0;1;1;0;0;1
7#5b9;D;7;5;1;1;0;0;1;0;0;0;1;0;1;0
9b5;D;9;5;1;0;1;0;1;0;1;0;0;0;1;0
9#5;D;9;5;1;0;1;0;1;0;0;0;1;0;1;0
13b5;D;7;5;1;0;0;0;1;0;1;0;0;1;1;0
7sus4b9;S;;5;1;1;0;0;0;1;0;1;0;0;1;0
7susb9;S;;5;1;1;0;0;0;1;0;1;0;0;1;0
M9#5;M;;5;1;0;1;0;1;0;0;0;1;0;0;1
9sus4;S;9;5;1;0;1;0;0;1;0;1;0;0;1;0
7b5b9;M;7;6;1;1;0;0;1;0;1;1;0;0;1;0
7b9#11;M;7;6;1;1;0;0;1;0;1;1;0;0;1;0
7b9b13;M;7;6;1;1;0;0;1;0;0;1;1;0;1;0
13b9;M;7;6;1;1;0;0;1;0;0;1;0;1;1;0
11;M;7;6;1;0;1;0;1;1;0;1;0;0;1;0
9#11;M;7;6;1;0;1;0;1;0;1;1;0;0;1;0
9b13;M;7;6;1;0;1;0;1;0;0;1;1;0;1;0
13;M;7;6;1;0;1;0;1;0;0;1;0;1;1;0
7#11b13;M;7;6;1;0;0;0;1;0;1;1;1;0;1;0
7b5b13;M;7;6;1;0;0;0;1;0;1;1;1;0;1;0
7#9#11;m;7;6;1;0;0;1;1;0;1;1;0;0;1;0
7#9b13;m;7;6;1;0;0;1;1;0;0;1;1;0;1;0
13#9;m;7;6;1;0;0;1;1;0;0;1;0;1;1;0
m11b5;m;;6;1;0;1;1;0;1;1;0;0;0;1;0
m11;m;;6;1;0;1;1;0;1;0;1;0;0;1;0
m11#5;m;;6;1;0;1;1;0;1;0;0;1;0;1;0
Blues;m;;6;1;0;0;1;0;1;1;1;0;0;1;0
7#5b9#11;D;7;6;1;1;0;0;1;0;1;0;1;0;1;0
9#5#11;D;9;6;1;0;1;0;1;0;1;0;1;0;1;0
7b9b13sus4;S;;6;1;1;0;0;0;1;0;1;1;0;1;0
7sus4b9b13;S;;6;1;1;0;0;0;1;0;1;1;0;1;0
13sus4;S;13;6;1;0;1;0;0;1;0;1;0;1;1;0
7b5b9b13;M;7;7;1;1;0;0;1;0;1;1;1;0;1;0
7b9#11b13;M;7;7;1;1;0;0;1;0;1;1;1;0;1;0
7b9b13#11;M;7;7;1;1;0;0;1;0;1;1;1;0;1;0
13b9#11;M;7;7;1;1;0;0;1;0;1;1;0;1;1;0
9#11b13;M;7;7;1;0;1;0;1;0;1;1;1;0;1;0
9b5b13;M;;7;1;0;1;0;1;0;1;1;1;0;1;0
13#11;M;;7;1;0;1;0;1;0;1;1;0;1;1;0
m13;m;;7;1;0;1;1;0;1;0;1;0;1;1;0
7#9#11b13;m;;7;1;0;0;1;1;0;1;1;1;0;1;0
13#9#11;m;;7;1;0;0;1;1;0;1;1;0;1;1;0
